lat,lng,latnear,lngnear,dist_miles
27.9809880613,-127.134766125,,,
27.9809880613,-126.844766125,,,
27.9809880613,-126.554766125,,,
27.9809880613,-126.264766125,,,
27.9809880613,-125.974766125,,,
27.9809880613,-125.684766125,,,
27.9809880613,-125.394766125,,,
27.9809880613,-125.104766125,,,
27.9809880613,-124.814766125,,,
27.9809880613,-124.524766125,,,
27.9809880613,-124.234766125,,,
27.9809880613,-123.944766125,,,
27.9809880613,-123.654766125,,,
27.9809880613,-123.364766125,,,
27.9809880613,-123.074766125,,,
27.9809880613,-122.784766125,,,
27.9809880613,-122.494766125,,,
27.9809880613,-122.204766125,,,
27.9809880613,-121.914766125,,,
27.9809880613,-121.624766125,,,
27.9809880613,-121.334766125,,,
27.9809880613,-121.044766125,,,
27.9809880613,-120.754766125,,,
27.9809880613,-120.464766125,,,
27.9809880613,-120.174766125,,,
27.9809880613,-119.884766125,,,
27.9809880613,-119.594766125,,,
27.9809880613,-119.304766125,,,
27.9809880613,-119.014766125,,,
27.9809880613,-118.724766125,,,
27.9809880613,-118.434766125,,,
27.9809880613,-118.144766125,,,
27.9809880613,-117.854766125,,,
27.9809880613,-117.564766125,,,
27.9809880613,-117.274766125,,,
27.9809880613,-116.984766125,,,
27.9809880613,-116.694766125,,,
27.9809880613,-116.404766125,,,
27.9809880613,-116.114766125,,,
27.9809880613,-115.824766125,,,
27.9809880613,-115.534766125,,,
27.9809880613,-115.244766125,,,
27.9809880613,-114.954766125,,,
27.9809880613,-114.664766125,,,
27.9809880613,-114.374766125,27.965825,-114.048057,19.9647972786
27.9809880613,-114.084766125,27.965825,-114.048057,2.47306585628
27.9809880613,-113.794766125,27.686072,-113.411663,31.036091587
27.9809880613,-113.504766125,27.686072,-113.411663,21.157177921
27.9809880613,-113.214766125,27.686072,-113.411663,23.6645100004
27.9809880613,-112.924766125,27.686072,-113.411663,36.0608779883
27.9809880613,-112.634766125,,,
27.9809880613,-112.344766125,,,
27.9809880613,-112.054766125,,,
27.9809880613,-111.764766125,,,
27.9809880613,-111.474766125,27.959865,-111.036118,26.8088102254
27.9809880613,-111.184766125,27.959865,-111.036118,9.18810910079
27.9809880613,-110.894766125,27.937906,-110.872935,3.26144819175
27.9809880613,-110.604766125,27.959737,-110.80357,12.2208057865
27.9809880613,-110.314766125,27.699075,-110.367497,19.7441550026
27.9809880613,-110.024766125,27.667603,-110.328717,28.5288625945
27.9809880613,-109.734766125,27.565169,-109.939019,31.3284218133
27.9809880613,-109.444766125,27.565169,-109.939019,41.6967179688
27.9809880613,-109.154766125,,,
27.9809880613,-108.864766125,,,
27.9809880613,-108.574766125,,,
27.9809880613,-108.284766125,,,
27.9809880613,-107.994766125,27.840122,-107.583299,26.9437716749
27.9809880613,-107.704766125,27.840122,-107.583299,12.237235253
27.9809880613,-107.414766125,27.840122,-107.583299,14.1646813158
27.9809880613,-107.124766125,27.840122,-107.583299,29.6417164962
27.9809880613,-106.834766125,28.381196,-106.864596,27.7130209236
27.9809880613,-106.544766125,28.381196,-106.864596,33.8255765173
27.9809880613,-106.254766125,,,
27.9809880613,-105.964766125,28.169817,-105.47874,32.3768620836
27.9809880613,-105.674766125,28.162101,-105.472983,17.5488875377
27.9809880613,-105.384766125,28.021808,-105.28823,6.53010983942
27.9809880613,-105.094766125,28.021808,-105.28823,12.1353240594
27.9809880613,-104.804766125,28.021808,-105.28823,29.6300621298
27.9809880613,-104.514766125,,,
27.9809880613,-104.224766125,,,
27.9809880613,-103.934766125,,,
27.9809880613,-103.644766125,,,
27.9809880613,-103.354766125,,,
27.9809880613,-103.064766125,,,
27.9809880613,-102.774766125,,,
27.9809880613,-102.484766125,,,
27.9809880613,-102.194766125,,,
27.9809880613,-101.904766125,,,
27.9809880613,-101.614766125,27.924239,-101.177447,26.9788339337
27.9809880613,-101.324766125,27.924239,-101.177447,9.80962983777
27.9809880613,-101.034766125,27.924239,-101.177447,9.55080010838
27.9809880613,-100.744766125,27.924239,-101.177447,26.6987704604
27.9809880613,-100.454766125,28.422674,-100.762815,35.8234213674
27.9809880613,-100.164766125,27.709992,-99.725048,32.7471691981
27.9809880613,-99.874766125,27.595218,-99.513999,34.5959242406
27.9809880613,-99.584766125,28.044272,-99.352165,14.8477310002
27.9809880613,-99.294766125,28.044272,-99.352165,5.60190819337
27.9809880613,-99.004766125,28.005792,-99.170256,10.2415068422
27.9809880613,-98.714766125,27.879776,-98.617816,9.16188633886
27.9809880613,-98.424766125,27.882608,-98.610901,13.2413096122
27.9809880613,-98.134766125,27.769549,-98.043309,15.6414708621
27.9809880613,-97.844766125,28.090912,-97.823017,7.71043418968
27.9809880613,-97.554766125,27.947513,-97.584372,2.93510672959
27.9809880613,-97.264766125,27.89445,-97.305173,6.46834784593
27.9809880613,-96.974766125,28.02418,-97.050535,5.50223819496
27.9809880613,-96.684766125,28.041037,-97.04225,22.1989079126
27.9809880613,-96.394766125,28.411557,-96.704427,35.2242763357
27.9809880613,-96.104766125,,,
27.9809880613,-95.814766125,,,
27.9809880613,-95.524766125,,,
27.9809880613,-95.234766125,,,
27.9809880613,-94.944766125,,,
27.9809880613,-94.654766125,,,
27.9809880613,-94.364766125,,,
27.9809880613,-94.074766125,,,
27.9809880613,-93.784766125,,,
27.9809880613,-93.494766125,,,
27.9809880613,-93.204766125,,,
27.9809880613,-92.914766125,,,
27.9809880613,-92.624766125,,,
27.9809880613,-92.334766125,,,
27.9809880613,-92.044766125,,,
27.9809880613,-91.754766125,,,
27.9809880613,-91.464766125,,,
27.9809880613,-91.174766125,,,
27.9809880613,-90.884766125,,,
27.9809880613,-90.594766125,,,
27.9809880613,-90.304766125,,,
27.9809880613,-90.014766125,,,
27.9809880613,-89.724766125,,,
27.9809880613,-89.434766125,,,
27.9809880613,-89.144766125,,,
27.9809880613,-88.854766125,,,
