lat,lng,latnear,lngnear,dist_miles
49.4409880613,-127.134766125,49.7800430,-126.0522040,53.6886790789
49.4409880613,-126.844766125,49.7800430,-126.0522040,42.4227129611
49.4409880613,-126.554766125,49.7800430,-126.0522040,32.4317594183
49.4409880613,-126.264766125,49.7800430,-126.0522040,25.2759093445
49.4409880613,-125.974766125,49.1529670,-125.9089590,20.123279245
49.4409880613,-125.684766125,49.1529010,-125.9085630,22.3292728444
49.4409880613,-125.394766125,49.6191730,-125.0248220,20.6378980411
49.4409880613,-125.104766125,49.6191730,-125.0248220,12.8222474481
49.4409880613,-124.814766125,49.4342620,-124.6741930,6.33449330835
49.4409880613,-124.524766125,49.3621550,-124.5005910,5.55496219706
49.4409880613,-124.234766125,49.3196080,-124.3034840,8.94032954313
49.4409880613,-123.944766125,49.4740170,-123.8703230,4.04761362525
49.4409880613,-123.654766125,49.4241570,-123.6475800,1.20704947982
49.4409880613,-123.364766125,49.3796800,-123.3386530,4.39627409983
49.4409880613,-123.074766125,49.3253480,-123.1427190,8.55681329589
49.4409880613,-122.784766125,49.2561320,-122.7450720,12.8984106184
49.4409880613,-122.494766125,49.2203760,-122.6056290,16.0445517774
49.4409880613,-122.204766125,49.2283020,-122.2236390,14.7212656985
49.4409880613,-121.914766125,49.3026360,-121.9294620,9.58303490598
49.4409880613,-121.624766125,49.3795680,-121.4437290,9.18438524169
49.4409880613,-121.334766125,49.3860010,-121.3998860,4.79774505068
49.4409880613,-121.044766125,49.3860010,-121.3998860,16.420589927
49.4409880613,-120.754766125,49.3588360,-120.5563630,10.5816061496
49.4409880613,-120.464766125,49.4578820,-120.5070870,2.23082258408
49.4409880613,-120.174766125,49.3577930,-120.0765990,7.25065653622
49.4409880613,-119.884766125,49.4187380,-119.8719860,1.64131742697
49.4409880613,-119.594766125,49.4627770,-119.5789040,1.66566638562
49.4409880613,-119.304766125,49.3817870,-119.5602470,12.1999910098
49.4409880613,-119.014766125,49.3817870,-119.5602470,24.8789923682
49.4409880613,-118.724766125,49.1027660,-118.6775780,23.4684554673
49.4409880613,-118.434766125,49.2580950,-118.0416560,21.7730619674
49.4409880613,-118.144766125,49.2580950,-118.0416560,13.4663771612
49.4409880613,-117.854766125,49.3266290,-117.6653390,11.6289803953
49.4409880613,-117.564766125,49.4458730,-117.5572850,0.47636110358
49.4409880613,-117.274766125,49.4819210,-117.3030440,3.10033346996
49.4409880613,-116.984766125,49.4377210,-116.7550970,10.3231754157
49.4409880613,-116.694766125,49.4377210,-116.7550970,2.72048868754
49.4409880613,-116.404766125,49.4377210,-116.7550970,15.7445365345
49.4409880613,-116.114766125,49.6380700,-115.9610490,15.2573123463
49.4409880613,-115.824766125,49.5047350,-115.7622450,5.22256215076
49.4409880613,-115.534766125,49.5259010,-115.7392820,10.8897659394
49.4409880613,-115.244766125,49.5039070,-115.0607730,9.33168598167
49.4409880613,-114.954766125,49.5039070,-115.0607730,6.4446663471
49.4409880613,-114.664766125,49.6150680,-114.4593340,15.1426819064
49.4409880613,-114.374766125,49.6075300,-114.4343110,11.8129355034
49.4409880613,-114.084766125,49.5205560,-113.9972220,6.75674880484
49.4409880613,-113.794766125,49.4857180,-113.9285040,6.75281506167
49.4409880613,-113.504766125,49.3691070,-113.5106790,4.97410315196
49.4409880613,-113.214766125,49.3691070,-113.5106790,14.2123091051
49.4409880613,-112.924766125,49.4153900,-112.8687160,3.0787294685
49.4409880613,-112.634766125,49.4618800,-112.6621970,1.89790738124
49.4409880613,-112.344766125,49.2830050,-112.2057420,12.5876405781
49.4409880613,-112.054766125,49.2830050,-112.2057420,12.8643686231
49.4409880613,-111.764766125,49.4790660,-111.4494220,14.4011681439
49.4409880613,-111.474766125,49.4790660,-111.4494220,2.86671163533
49.4409880613,-111.184766125,49.4790660,-111.4494220,12.1707102239
49.4409880613,-110.894766125,49.4790660,-111.4494220,25.0423261533
49.4409880613,-110.604766125,49.4790660,-111.4494220,38.0157042687
49.4409880613,-110.314766125,49.4790660,-111.4494220,51.0132649708
49.4409880613,-110.024766125,48.5729010,-110.3081870,61.3687237348
49.4409880613,-109.734766125,49.2048940,-108.5618090,55.4150921355
49.4409880613,-109.444766125,49.2048940,-108.5618090,43.074626692
49.4409880613,-109.154766125,49.2048940,-108.5618090,31.3511895035
49.4409880613,-108.864766125,49.2048940,-108.5618090,21.2897461769
49.4409880613,-108.574766125,49.2048940,-108.5618090,16.3245854966
49.4409880613,-108.284766125,49.2048940,-108.5618090,20.5575650639
49.4409880613,-107.994766125,49.2440150,-107.7294050,18.1266332317
49.4409880613,-107.704766125,49.2440150,-107.7294050,13.6561529577
49.4409880613,-107.414766125,49.2440150,-107.7294050,19.6658689541
49.4409880613,-107.124766125,49.2440150,-107.7294050,30.485119266
49.4409880613,-106.834766125,49.8763700,-106.5571840,32.5256319532
49.4409880613,-106.544766125,49.6330890,-105.9878300,28.2414173002
49.4409880613,-106.254766125,49.6330890,-105.9878300,17.8590990928
49.4409880613,-105.964766125,49.6330890,-105.9878300,13.3142536111
49.4409880613,-105.674766125,49.6330890,-105.9878300,19.3013843433
49.4409880613,-105.384766125,49.3944700,-105.1268600,12.0369469206
49.4409880613,-105.094766125,49.3944700,-105.1268600,3.52363410234
49.4409880613,-104.804766125,49.5774200,-104.9167160,10.6789904576
49.4409880613,-104.514766125,49.4573760,-104.3052570,9.47888332453
49.4409880613,-104.224766125,49.4608200,-104.2970900,3.52572876285
49.4409880613,-103.934766125,49.6633660,-103.8617580,15.7094956231
49.4409880613,-103.644766125,49.3954880,-103.4115280,10.9511396982
49.4409880613,-103.354766125,49.3954880,-103.4115280,4.04999715749
49.4409880613,-103.064766125,49.3815180,-102.7583490,14.3847889461
49.4409880613,-102.774766125,49.3815180,-102.7583490,4.17522733651
49.4409880613,-102.484766125,49.3815180,-102.7583490,12.9760397102
49.4409880613,-102.194766125,49.6315600,-102.2670060,13.5596803466
49.4409880613,-101.904766125,49.3883730,-101.8742340,3.88646064622
49.4409880613,-101.614766125,49.5696550,-101.6990960,9.66081536488
49.4409880613,-101.324766125,49.5690110,-101.2869560,9.00721756813
49.4409880613,-101.034766125,49.5570740,-101.0942960,8.45378513803
49.4409880613,-100.744766125,49.3907910,-100.6758510,4.6519017057
49.4409880613,-100.454766125,49.4802060,-100.5228090,4.08374639175
49.4409880613,-100.164766125,49.4069030,-100.0256680,6.68338091727
49.4409880613,-99.874766125,49.4069030,-100.0256680,7.18252817726
49.4409880613,-99.584766125,49.4012870,-99.6306020,3.43143749361
49.4409880613,-99.294766125,49.3849920,-99.2445460,4.48057991646
49.4409880613,-99.004766125,49.4067790,-98.7839020,10.208738876
49.4409880613,-98.714766125,49.4119540,-98.6565160,3.2991051632
49.4409880613,-98.424766125,49.4997410,-98.3426110,5.48428116374
49.4409880613,-98.134766125,49.3704000,-98.2434170,6.9061807405
49.4409880613,-97.844766125,49.5063010,-98.0016130,8.36107364519
49.4409880613,-97.554766125,49.4589810,-97.4354280,5.50270692022
49.4409880613,-97.264766125,49.3528350,-97.3644450,7.56560873092
49.4409880613,-96.974766125,49.4420690,-96.9849660,0.464360625893
