lat,lng,latnear,lngnear,dist_miles
31.1709880613,-127.134766125,,,
31.1709880613,-126.844766125,,,
31.1709880613,-126.554766125,,,
31.1709880613,-126.264766125,,,
31.1709880613,-125.974766125,,,
31.1709880613,-125.684766125,,,
31.1709880613,-125.394766125,,,
31.1709880613,-125.104766125,,,
31.1709880613,-124.814766125,,,
31.1709880613,-124.524766125,,,
31.1709880613,-124.234766125,,,
31.1709880613,-123.944766125,,,
31.1709880613,-123.654766125,,,
31.1709880613,-123.364766125,,,
31.1709880613,-123.074766125,,,
31.1709880613,-122.784766125,,,
31.1709880613,-122.494766125,,,
31.1709880613,-122.204766125,,,
31.1709880613,-121.914766125,,,
31.1709880613,-121.624766125,,,
31.1709880613,-121.334766125,,,
31.1709880613,-121.044766125,,,
31.1709880613,-120.754766125,,,
31.1709880613,-120.464766125,,,
31.1709880613,-120.174766125,,,
31.1709880613,-119.884766125,,,
31.1709880613,-119.594766125,,,
31.1709880613,-119.304766125,,,
31.1709880613,-119.014766125,,,
31.1709880613,-118.724766125,,,
31.1709880613,-118.434766125,,,
31.1709880613,-118.144766125,,,
31.1709880613,-117.854766125,,,
31.1709880613,-117.564766125,,,
31.1709880613,-117.274766125,,,
31.1709880613,-116.984766125,,,
31.1709880613,-116.694766125,,,
31.1709880613,-116.404766125,30.840768,-116.059113,30.65451436
31.1709880613,-116.114766125,30.840768,-116.059113,23.0542381991
31.1709880613,-115.824766125,30.840768,-116.059113,26.7069650216
31.1709880613,-115.534766125,30.840768,-116.059113,38.5355713617
31.1709880613,-115.244766125,31.028042,-114.833378,26.2680213934
31.1709880613,-114.954766125,31.028042,-114.833378,12.2123670659
31.1709880613,-114.664766125,31.028791,-114.831711,13.9321290224
31.1709880613,-114.374766125,31.028791,-114.831711,28.7656601207
31.1709880613,-114.084766125,,,
31.1709880613,-113.794766125,31.322957,-113.546037,18.05997048
31.1709880613,-113.504766125,31.313683,-113.51984,9.90000887595
31.1709880613,-113.214766125,31.313683,-113.51984,20.5436420564
31.1709880613,-112.924766125,,,
31.1709880613,-112.634766125,30.726707,-112.186241,40.6063845549
31.1709880613,-112.344766125,30.73621,-112.158973,31.9958964526
31.1709880613,-112.054766125,30.73621,-112.158973,30.6701595517
31.1709880613,-111.764766125,31.46908,-111.542801,24.4115286547
31.1709880613,-111.474766125,31.262116,-110.949266,31.6854434743
31.1709880613,-111.184766125,31.262116,-110.949266,15.2747072567
31.1709880613,-110.894766125,31.262005,-110.946146,6.98360236756
31.1709880613,-110.604766125,31.325084,-110.937671,22.3633336736
31.1709880613,-110.314766125,30.973929,-110.293647,13.6735513228
31.1709880613,-110.024766125,31.326027,-109.947002,11.6562102004
31.1709880613,-109.734766125,31.303029,-109.563618,13.6192747147
31.1709880613,-109.444766125,31.303029,-109.563618,11.5129517547
31.1709880613,-109.154766125,31.329736,-109.523726,24.3998487253
31.1709880613,-108.864766125,30.932691,-108.653541,20.67516282
31.1709880613,-108.574766125,31.132883,-108.456795,7.45640026318
31.1709880613,-108.284766125,31.132883,-108.456795,10.5079057871
31.1709880613,-107.994766125,31.097596,-107.995152,5.07126555547
31.1709880613,-107.704766125,31.097596,-107.995152,17.9078020524
31.1709880613,-107.414766125,,,
31.1709880613,-107.124766125,,,
31.1709880613,-106.834766125,31.18584,-106.507506,19.3738566526
31.1709880613,-106.544766125,31.18584,-106.507506,2.430038203
31.1709880613,-106.254766125,31.18584,-106.507506,14.9764433162
31.1709880613,-105.964766125,31.284601,-105.83887,10.814947505
31.1709880613,-105.674766125,31.284601,-105.83887,12.4758255625
31.1709880613,-105.384766125,31.284601,-105.83887,27.9561254704
31.1709880613,-105.094766125,31.038027,-104.854946,16.9032579753
31.1709880613,-104.804766125,31.040188,-104.819107,9.07770486034
31.1709880613,-104.514766125,31.040188,-104.819107,20.1465850478
31.1709880613,-104.224766125,30.986935,-103.742208,31.2611167224
31.1709880613,-103.934766125,30.986935,-103.742208,17.0760977892
31.1709880613,-103.644766125,30.986935,-103.742208,13.9639041203
31.1709880613,-103.354766125,31.389137,-103.524586,18.1047549513
31.1709880613,-103.064766125,31.184016,-103.063135,0.905349016173
31.1709880613,-102.774766125,31.190545,-102.494247,16.6380250661
31.1709880613,-102.484766125,31.190545,-102.494247,1.46295469812
31.1709880613,-102.194766125,31.230084,-101.933264,15.9859441399
31.1709880613,-101.904766125,31.230084,-101.933264,4.41712256813
31.1709880613,-101.614766125,31.191587,-101.460635,9.222007494
31.1709880613,-101.324766125,31.191587,-101.460635,8.15706742676
31.1709880613,-101.034766125,31.256132,-100.817342,14.1315845457
31.1709880613,-100.744766125,31.256132,-100.817342,7.28059138444
31.1709880613,-100.454766125,31.189995,-100.498735,2.91221049925
31.1709880613,-100.164766125,31.216233,-99.845614,19.1216093037
31.1709880613,-99.874766125,31.216233,-99.845614,3.56972918678
31.1709880613,-99.584766125,31.120266,-99.391973,11.9278372067
31.1709880613,-99.294766125,31.135015,-99.34057,3.67621187631
31.1709880613,-99.004766125,31.195607,-98.717535,17.0643877653
31.1709880613,-98.714766125,31.194942,-98.716394,1.65795437046
31.1709880613,-98.424766125,31.21789,-98.3947,3.69608062472
31.1709880613,-98.134766125,31.066334,-98.17725,7.65558753058
31.1709880613,-97.844766125,31.131518,-97.802589,3.69575987108
31.1709880613,-97.554766125,31.078316,-97.654265,8.6972346644
31.1709880613,-97.264766125,31.139709,-97.349779,5.47186864045
