lat,lng,latnear,lngnear,dist_miles
37.6703454308,-121.727315402,37.691321,-121.726302,1.45042029918
37.6703454308,-121.437315402,37.695828,-121.434353,1.76822031117
37.6703454308,-121.147315402,37.703208,-121.084653,4.11057937666
37.6703454308,-120.857315402,37.638472,-120.901792,3.28183709965
37.6703454308,-120.567315402,37.642265,-120.762971,10.8775600164
37.6703454308,-120.277315402,37.678884,-120.333769,3.14333365772
37.6703454308,-119.987315402,37.551327,-119.922828,8.94942781821
37.6703454308,-119.697315402,37.674625,-119.782186,4.6511455886
37.6703454308,-119.407315402,37.747042,-119.584568,11.0441194049
37.6703454308,-119.117315402,37.778376,-119.07565,7.80426203281
37.6703454308,-118.827315402,37.64028,-118.964962,7.81121971177
37.6703454308,-118.537315402,37.815648,-118.476551,10.5747904226
37.6703454308,-118.247315402,37.666909,-118.064964,9.97649150128
37.6703454308,-117.957315402,37.666909,-118.064964,5.89260047349
37.6703454308,-117.667315402,37.666909,-118.064964,21.7505761949
37.6703454308,-117.377315402,37.707711,-117.234106,8.24530959402
37.6703454308,-117.087315402,37.707711,-117.234106,8.43150354155
37.6703454308,-116.797315402,37.707711,-117.234106,24.0227152653
37.6703454308,-116.507315402,,,
37.6703454308,-116.217315402,,,
37.6703454308,-115.927315402,,,
37.6703454308,-115.637315402,,,
37.6703454308,-115.347315402,,,
37.6703454308,-115.057315402,37.614642,-114.509511,30.2186596299
37.6703454308,-114.767315402,37.614642,-114.509511,14.6212162953
37.6703454308,-114.477315402,37.614642,-114.509511,4.23292444199
37.6703454308,-114.187315402,37.790367,-114.38685,13.6997539728
37.6703454308,-113.897315402,37.57367,-113.717735,11.8835096534
37.6703454308,-113.607315402,37.563425,-113.691505,8.70716891705
37.6703454308,-113.317315402,37.690739,-113.089077,12.5607318793
37.6703454308,-113.027315402,37.682665,-113.05344,1.66309704091
37.6703454308,-112.737315402,37.706014,-112.84942,6.60683052124
37.6703454308,-112.447315402,37.82267,-112.435745,10.5442278532
37.6703454308,-112.157315402,37.63646,-112.082028,4.73767995702
37.6703454308,-111.867315402,37.63646,-112.082028,11.977149059
37.6703454308,-111.577315402,37.770488,-111.600468,7.03436848222
37.6703454308,-111.287315402,37.770488,-111.600468,18.4616571311
37.6703454308,-110.997315402,,,
37.6703454308,-110.707315402,,,
37.6703454308,-110.417315402,,,
37.6703454308,-110.127315402,,,
37.6703454308,-109.837315402,37.613297,-109.47906,19.9941860661
37.6703454308,-109.547315402,37.613297,-109.47906,5.43006332522
37.6703454308,-109.257315402,37.613297,-109.47906,12.7569465581
37.6703454308,-108.967315402,37.764328,-108.909712,7.21698671648
37.6703454308,-108.677315402,37.660781,-108.80877,7.22048268962
37.6703454308,-108.387315402,37.473128,-108.503928,15.0495212035
37.6703454308,-108.097315402,37.932429,-107.853988,22.459644974
37.6703454308,-107.807315402,37.807519,-107.66833,12.1456457922
37.6703454308,-107.517315402,37.807519,-107.66833,12.5671287457
37.6703454308,-107.227315402,37.79012,-107.129036,9.86615218252
37.6703454308,-106.937315402,37.851961,-106.925926,12.5646105243
37.6703454308,-106.647315402,37.669531,-106.638288,0.496939567043
37.6703454308,-106.357315402,37.6796,-106.361625,0.681520856777
37.6703454308,-106.067315402,37.743758,-106.104102,5.45670923315
37.6703454308,-105.777315402,37.691631,-105.946418,9.36371565471
37.6703454308,-105.487315402,37.429712,-105.430559,16.9153982199
37.6703454308,-105.197315402,37.508541,-105.009183,15.2021641413
37.6703454308,-104.907315402,37.634398,-104.789075,6.92905157515
37.6703454308,-104.617315402,37.62214,-104.782416,9.62742444686
37.6703454308,-104.327315402,37.62214,-104.782416,25.1209055612
37.6703454308,-104.037315402,38.01141,-103.671676,30.8783393448
37.6703454308,-103.747315402,38.01141,-103.671676,23.9254449692
37.6703454308,-103.457315402,37.986173,-103.524351,22.1274753679
37.6703454308,-103.167315402,38.072535,-103.220124,27.9392051219
37.6703454308,-102.877315402,37.403139,-102.617395,23.3176675761
